CET Marks,College Name,Branch,Timestamp
94,CS,IT,2025-03-27 10:50:23
83,RIT,Mechanical,2025-03-27 11:05:09
80.0,General,DY Patil,Civil Engineering,2025-03-27 11:33:53
87.0,OBC,DKTE,Artificial Intelligence and Data Science,2025-03-27 11:34:55
87.0,OBC,DKTE,Artificial Intelligence,2025-03-27 11:34:55
87.0,OBC,DKTE,Electronics & Telecommunication Engg.,2025-03-27 11:34:55
87.0,OBC,DKTE,Textile Chemistry,2025-03-27 11:34:55
87.0,OBC,DY Patil,Computer Science Engineering,2025-03-27 11:34:55
87.0,OBC,DKTE,Electrical Engineering,2025-03-27 11:34:55
87.0,OBC,DY Patil,Artificial Intelligence and Machine Learning,2025-03-27 11:34:55
87.0,OBC,DKTE,Textile Technology,2025-03-27 11:34:55
87.0,OBC,DY Patil,Electronics & Telecommunication Engg.,2025-03-27 11:34:55
87.0,OBC,DY Patil,Data Science,2025-03-27 11:34:55
87.0,OBC,DKTE,Mechanical Engineering,2025-03-27 11:34:55
87.0,OBC,DKTE,Man Made Textile Technology,2025-03-27 11:34:55
87.0,OBC,DKTE,Civil Engineering,2025-03-27 11:34:55
87.0,OBC,DY Patil,Chemical Engineering,2025-03-27 11:34:55
87.0,OBC,DY Patil,Mechanical Engineering,2025-03-27 11:34:55
87.0,OBC,DY Patil,Civil Engineering,2025-03-27 11:34:55
87.78,General,DKTE,Artificial Intelligence,2025-04-26 20:54:17
87.78,General,DKTE,Electronics & Telecommunication Engg.,2025-04-26 20:54:17
87.78,General,DKTE,Textile Chemistry,2025-04-26 20:54:17
87.78,General,DY Patil,Computer Science Engineering,2025-04-26 20:54:17
87.78,General,DKTE,Electrical Engineering,2025-04-26 20:54:17
87.78,General,DY Patil,Artificial Intelligence and Machine Learning,2025-04-26 20:54:17
87.78,General,DKTE,Textile Technology,2025-04-26 20:54:17
87.78,General,DY Patil,Electronics & Telecommunication Engg.,2025-04-26 20:54:17
87.78,General,DY Patil,Data Science,2025-04-26 20:54:17
87.78,General,DKTE,Mechanical Engineering,2025-04-26 20:54:17
87.78,General,DKTE,Man Made Textile Technology,2025-04-26 20:54:17
87.78,General,DKTE,Civil Engineering,2025-04-26 20:54:17
87.78,General,DY Patil,Chemical Engineering,2025-04-26 20:54:17
87.78,General,DY Patil,Mechanical Engineering,2025-04-26 20:54:17
87.78,General,DY Patil,Civil Engineering,2025-04-26 20:54:17
81.0,OBC,DKTE,Textile Chemistry,2025-04-26 20:55:23
81.0,OBC,DY Patil,Computer Science Engineering,2025-04-26 20:55:23
81.0,OBC,DKTE,Electrical Engineering,2025-04-26 20:55:23
81.0,OBC,DY Patil,Artificial Intelligence and Machine Learning,2025-04-26 20:55:23
81.0,OBC,DKTE,Textile Technology,2025-04-26 20:55:23
81.0,OBC,DY Patil,Electronics & Telecommunication Engg.,2025-04-26 20:55:23
81.0,OBC,DY Patil,Data Science,2025-04-26 20:55:23
81.0,OBC,DKTE,Mechanical Engineering,2025-04-26 20:55:23
81.0,OBC,DKTE,Man Made Textile Technology,2025-04-26 20:55:23
81.0,OBC,DKTE,Civil Engineering,2025-04-26 20:55:23
81.0,OBC,DY Patil,Chemical Engineering,2025-04-26 20:55:23
81.0,OBC,DY Patil,Mechanical Engineering,2025-04-26 20:55:23
81.0,OBC,DY Patil,Civil Engineering,2025-04-26 20:55:23
87.0,General,DKTE,Electronics & Telecommunication Engg.,2025-04-26 20:59:58
87.0,General,DKTE,Textile Chemistry,2025-04-26 20:59:58
87.0,General,DY Patil,Computer Science Engineering,2025-04-26 20:59:58
87.0,General,DKTE,Electrical Engineering,2025-04-26 20:59:58
87.0,General,DY Patil,Artificial Intelligence and Machine Learning,2025-04-26 20:59:58
87.0,General,DKTE,Textile Technology,2025-04-26 20:59:58
87.0,General,DY Patil,Electronics & Telecommunication Engg.,2025-04-26 20:59:58
87.0,General,DY Patil,Data Science,2025-04-26 20:59:58
87.0,General,DKTE,Mechanical Engineering,2025-04-26 20:59:58
87.0,General,DKTE,Man Made Textile Technology,2025-04-26 20:59:58
87.0,General,DKTE,Civil Engineering,2025-04-26 20:59:58
87.0,General,DY Patil,Chemical Engineering,2025-04-26 20:59:58
87.0,General,DY Patil,Mechanical Engineering,2025-04-26 20:59:58
87.0,General,DY Patil,Civil Engineering,2025-04-26 20:59:58
83.0,OBC,DKTE,Textile Chemistry,2025-04-26 21:00:07
83.0,OBC,DY Patil,Computer Science Engineering,2025-04-26 21:00:07
83.0,OBC,DKTE,Electrical Engineering,2025-04-26 21:00:07
83.0,OBC,DY Patil,Artificial Intelligence and Machine Learning,2025-04-26 21:00:07
83.0,OBC,DKTE,Textile Technology,2025-04-26 21:00:07
83.0,OBC,DY Patil,Electronics & Telecommunication Engg.,2025-04-26 21:00:07
83.0,OBC,DY Patil,Data Science,2025-04-26 21:00:07
83.0,OBC,DKTE,Mechanical Engineering,2025-04-26 21:00:07
83.0,OBC,DKTE,Man Made Textile Technology,2025-04-26 21:00:07
83.0,OBC,DKTE,Civil Engineering,2025-04-26 21:00:07
83.0,OBC,DY Patil,Chemical Engineering,2025-04-26 21:00:07
83.0,OBC,DY Patil,Mechanical Engineering,2025-04-26 21:00:07
83.0,OBC,DY Patil,Civil Engineering,2025-04-26 21:00:07
83.0,OBC,DKTE,Textile Chemistry,2025-04-26 21:08:26
83.0,OBC,DY Patil,Computer Science Engineering,2025-04-26 21:08:26
83.0,OBC,DKTE,Electrical Engineering,2025-04-26 21:08:26
83.0,OBC,DY Patil,Artificial Intelligence and Machine Learning,2025-04-26 21:08:26
83.0,OBC,DKTE,Textile Technology,2025-04-26 21:08:26
83.0,OBC,DY Patil,Electronics & Telecommunication Engg.,2025-04-26 21:08:26
83.0,OBC,DY Patil,Data Science,2025-04-26 21:08:26
83.0,OBC,DKTE,Mechanical Engineering,2025-04-26 21:08:26
83.0,OBC,DKTE,Man Made Textile Technology,2025-04-26 21:08:26
83.0,OBC,DKTE,Civil Engineering,2025-04-26 21:08:26
83.0,OBC,DY Patil,Chemical Engineering,2025-04-26 21:08:26
83.0,OBC,DY Patil,Mechanical Engineering,2025-04-26 21:08:26
83.0,OBC,DY Patil,Civil Engineering,2025-04-26 21:08:26
89.0,General,DKTE,Artificial Intelligence and Data Science,2026-03-05 18:11:20
89.0,General,DKTE,Artificial Intelligence,2026-03-05 18:11:20
89.0,General,DKTE,Electronics & Telecommunication Engg.,2026-03-05 18:11:20
89.0,General,DKTE,Textile Chemistry,2026-03-05 18:11:20
89.0,General,DY Patil,Computer Science Engineering,2026-03-05 18:11:20
89.0,General,DKTE,Electrical Engineering,2026-03-05 18:11:20
89.0,General,DY Patil,Artificial Intelligence and Machine Learning,2026-03-05 18:11:20
89.0,General,DKTE,Textile Technology,2026-03-05 18:11:20
89.0,General,DY Patil,Electronics & Telecommunication Engg.,2026-03-05 18:11:20
89.0,General,DY Patil,Data Science,2026-03-05 18:11:20
89.0,General,DKTE,Mechanical Engineering,2026-03-05 18:11:20
89.0,General,DKTE,Man Made Textile Technology,2026-03-05 18:11:20
89.0,General,DKTE,Civil Engineering,2026-03-05 18:11:20
89.0,General,DY Patil,Chemical Engineering,2026-03-05 18:11:20
89.0,General,DY Patil,Mechanical Engineering,2026-03-05 18:11:20
89.0,General,DY Patil,Civil Engineering,2026-03-05 18:11:20
40.0,General,DY Patil,Civil Engineering,2026-03-06 19:03:17
100.0,General,KIT,Biotechnology,2026-03-06 19:03:31
100.0,General,KIT,Computer Science Engineering,2026-03-06 19:03:31
100.0,General,KIT,Artificial Intelligence and Machine Learning,2026-03-06 19:03:31
100.0,General,DKTE,Computer Science Engineering,2026-03-06 19:03:31
100.0,General,KIT,Electronics & Telecommunication Engg.,2026-03-06 19:03:31
100.0,General,KIT,Computer Science and Business Systems,2026-03-06 19:03:31
100.0,General,DKTE,Fashion Technology,2026-03-06 19:03:31
100.0,General,DKTE,Artificial Intelligence and Data Science,2026-03-06 19:03:31
100.0,General,DKTE,Artificial Intelligence,2026-03-06 19:03:31
100.0,General,DKTE,Electronics & Telecommunication Engg.,2026-03-06 19:03:31
100.0,General,DKTE,Textile Chemistry,2026-03-06 19:03:31
100.0,General,DY Patil,Computer Science Engineering,2026-03-06 19:03:31
100.0,General,DKTE,Electrical Engineering,2026-03-06 19:03:31
100.0,General,DY Patil,Artificial Intelligence and Machine Learning,2026-03-06 19:03:31
100.0,General,DKTE,Textile Technology,2026-03-06 19:03:31
100.0,General,DY Patil,Electronics & Telecommunication Engg.,2026-03-06 19:03:31
100.0,General,DY Patil,Data Science,2026-03-06 19:03:31
100.0,General,DKTE,Mechanical Engineering,2026-03-06 19:03:31
100.0,General,DKTE,Man Made Textile Technology,2026-03-06 19:03:31
100.0,General,DKTE,Civil Engineering,2026-03-06 19:03:31
100.0,General,DY Patil,Chemical Engineering,2026-03-06 19:03:31
100.0,General,DY Patil,Mechanical Engineering,2026-03-06 19:03:31
100.0,General,DY Patil,Civil Engineering,2026-03-06 19:03:31
90.0,SC,KIT,Biotechnology,2026-03-06 19:08:38
90.0,SC,KIT,Computer Science Engineering,2026-03-06 19:08:38
90.0,SC,KIT,Artificial Intelligence and Machine Learning,2026-03-06 19:08:38
90.0,SC,DKTE,Computer Science Engineering,2026-03-06 19:08:38
90.0,SC,KIT,Electronics & Telecommunication Engg.,2026-03-06 19:08:38
90.0,SC,KIT,Computer Science and Business Systems,2026-03-06 19:08:38
90.0,SC,DKTE,Fashion Technology,2026-03-06 19:08:38
90.0,SC,DKTE,Artificial Intelligence and Data Science,2026-03-06 19:08:38
90.0,SC,DKTE,Artificial Intelligence,2026-03-06 19:08:38
90.0,SC,DKTE,Electronics & Telecommunication Engg.,2026-03-06 19:08:38
90.0,SC,DKTE,Textile Chemistry,2026-03-06 19:08:38
90.0,SC,DY Patil,Computer Science Engineering,2026-03-06 19:08:38
90.0,SC,DKTE,Electrical Engineering,2026-03-06 19:08:38
90.0,SC,DY Patil,Artificial Intelligence and Machine Learning,2026-03-06 19:08:38
90.0,SC,DKTE,Textile Technology,2026-03-06 19:08:38
90.0,SC,DY Patil,Electronics & Telecommunication Engg.,2026-03-06 19:08:38
90.0,SC,DY Patil,Data Science,2026-03-06 19:08:38
90.0,SC,DKTE,Mechanical Engineering,2026-03-06 19:08:38
90.0,SC,DKTE,Man Made Textile Technology,2026-03-06 19:08:38
90.0,SC,DKTE,Civil Engineering,2026-03-06 19:08:38
90.0,SC,DY Patil,Chemical Engineering,2026-03-06 19:08:38
90.0,SC,DY Patil,Mechanical Engineering,2026-03-06 19:08:38
90.0,SC,DY Patil,Civil Engineering,2026-03-06 19:08:38
90.0,General,DKTE,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Visvesvaraya National Institute of Technology (VNIT),Textile Engineering,2026-03-06 19:11:33
90.0,General,Visvesvaraya National Institute of Technology (VNIT),IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,DKTE,Artificial Intelligence,2026-03-06 19:11:33
90.0,General,Institute of Chemical Technology,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,DKTE,Electronics & Telecommunication Engg.,2026-03-06 19:11:33
90.0,General,Government Polytechnic Mumbai,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Institute of Chemical Technology,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Dr. Panjabrao Deshmukh Agricultural University,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,MIDC School of Computing,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Government College of Engineering Aurangabad,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,College of Engineering Pune (CoEP),IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Institute of Chemical Technology,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Institute of Chemical Technology,Civil Engineering,2026-03-06 19:11:33
90.0,General,MIDC School of Computing,Power Electronics,2026-03-06 19:11:33
90.0,General,DKTE,Textile Chemistry,2026-03-06 19:11:33
90.0,General,College of Engineering Pune (CoEP),Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Swami Ramanand Teerth Marathwada University,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Swami Ramanand Teerth Marathwada University,Textile Engineering,2026-03-06 19:11:33
90.0,General,DY Patil,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Government Polytechnic Mumbai,Software Engineering,2026-03-06 19:11:33
90.0,General,Government Polytechnic Pune,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Government College of Engineering Nagpur,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Aurangabad,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Dr. Babasaheb Ambedkar Technological University,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,DKTE,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Dr. Babasaheb Ambedkar Technological University,Software Engineering,2026-03-06 19:11:33
90.0,General,Pravara Rural College of Engineering,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Swami Ramanand Teerth Marathwada University,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Dr. Panjabrao Deshmukh Agricultural University,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Nagpur,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Dr. Babasaheb Ambedkar Technological University,Automobile Engineering,2026-03-06 19:11:33
90.0,General,DY Patil,Artificial Intelligence and Machine Learning,2026-03-06 19:11:33
90.0,General,Government College of Engineering Aurangabad,Civil Engineering,2026-03-06 19:11:33
90.0,General,Deogiri Institute of Engineering and Management Studies,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Government Polytechnic Mumbai,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Institute of Technology,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Amravati,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,DKTE,Textile Technology,2026-03-06 19:11:33
90.0,General,Deogiri Institute of Engineering and Management Studies,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Dr. Babasaheb Ambedkar Technological University,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad College of Engineering,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Solapur University College of Engineering,Electronics Engineering,2026-03-06 19:11:33
90.0,General,Mukesh Patel School of Technology,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Amravati,Power Electronics,2026-03-06 19:11:33
90.0,General,Government College of Engineering Amravati,Textile Engineering,2026-03-06 19:11:33
90.0,General,KIT's College of Engineering,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,MIDC School of Computing,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Government College of Engineering Amravati,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Amravati,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Dr. Babasaheb Ambedkar Technological University,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Solapur University College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,Solapur University College of Engineering,Software Engineering,2026-03-06 19:11:33
90.0,General,Government Polytechnic Pune,Information Technology,2026-03-06 19:11:33
90.0,General,Government College of Engineering Aurangabad,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Vidyalankar School of Information Technology,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,JSPM Solapur,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Dr. Panjabrao Deshmukh Agricultural University,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Institute of Chemical Technology,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Pillar College of Engineering,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Dr. Panjabrao Deshmukh Agricultural University,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Dr. Vithalrao Vikhe Patil College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Dr. Panjabrao Deshmukh Agricultural University,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Pimpri Chinchwad College of Engineering (PCCOE),Electronics Engineering,2026-03-06 19:11:33
90.0,General,Bharati Vidyapeeth College of Engineering,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Vishwakarma Institute of Technology,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Swami Ramanand Teerth Marathwada University,Electronics Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Amravati,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Government Polytechnic Mumbai,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Dr. Panjabrao Deshmukh Agricultural University,Textile Engineering,2026-03-06 19:11:33
90.0,General,DJ Sanghvi College of Engineering,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Veermata Jijabai Technological Institute (VJTI),Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Solapur University College of Engineering,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Government Polytechnic Pune,Production Engineering,2026-03-06 19:11:33
90.0,General,Veermata Jijabai Technological Institute (VJTI),Chemical Engineering,2026-03-06 19:11:33
90.0,General,Walchand College of Engineering,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Veermata Jijabai Technological Institute (VJTI),Textile Engineering,2026-03-06 19:11:33
90.0,General,Government Polytechnic Pune,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Genba Sopanrao Moze College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,College of Engineering Pune (CoEP),Production Engineering,2026-03-06 19:11:33
90.0,General,Dr. Vithalrao Vikhe Patil College of Engineering,Electrical Engineering,2026-03-06 19:11:33
90.0,General,AISSMS College of Engineering,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,KIT's College of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Pimpri Chinchwad College of Engineering (PCCOE),Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,DY Patil,Electronics & Telecommunication Engg.,2026-03-06 19:11:33
90.0,General,Genba Sopanrao Moze College of Engineering,Software Engineering,2026-03-06 19:11:33
90.0,General,Pravara Rural College of Engineering,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Guru Nanak Institute of Technology,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Shree L.R. Tiwari College of Engineering,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Marathwada Institute of Technology,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,MIT Academy of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Aurangabad,Textile Engineering,2026-03-06 19:11:33
90.0,General,Government Polytechnic Pune,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,MIDC School of Computing,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Amravati,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Pillar College of Engineering,Electronics Engineering,2026-03-06 19:11:33
90.0,General,Dr. D.Y. Patil School of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,DKTE Textile and Engineering Institute,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Academy of Engineering,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,DY Patil Institute of Technology,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Thadomal Shahani Engineering College,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Annasaheb Dange College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,DY Patil,Data Science,2026-03-06 19:11:33
90.0,General,Solapur University College of Engineering,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Vishwakarma Institute of Technology,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Dr. Babasaheb Ambedkar Technological University,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Sinhgad College of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,KIT's College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Government College of Engineering Nagpur,Power Electronics,2026-03-06 19:11:33
90.0,General,Ashokrao Mane Group of Institutions,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Dr. Panjabrao Deshmukh Agricultural University,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,College of Engineering Pune (CoEP),Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Dr. Vithalrao Vikhe Patil College of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,Vishwakarma Institute of Technology,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Academy of Engineering,Software Engineering,2026-03-06 19:11:33
90.0,General,JSPM's Rajarshi Shahu College of Engineering,Civil Engineering,2026-03-06 19:11:33
90.0,General,KIT's College of Engineering,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Sanjivani College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Government Polytechnic Pune,Environmental Engineering,2026-03-06 19:11:33
90.0,General,DJ Sanghvi College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,AISSMS College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,Yeshwantrao Chavan College of Engineering,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Army Institute of Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Yeshwantrao Chavan College of Engineering,Environmental Engineering,2026-03-06 19:11:33
90.0,General,DKTE,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,JSPM Solapur,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Ashokrao Mane Group of Institutions,Power Electronics,2026-03-06 19:11:33
90.0,General,Fr. Conceicao Rodrigues College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Academy of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,Rajarambapu Institute of Technology (RIT),Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Ashokrao Mane Group of Institutions,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Fr. Conceicao Rodrigues College of Engineering,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Guru Nanak Institute of Technology,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Dr. D.Y. Patil School of Engineering,Electronics Engineering,2026-03-06 19:11:33
90.0,General,MIT Academy of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Marathwada Institute of Technology,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Rajarambapu Institute of Technology (RIT),Production Engineering,2026-03-06 19:11:33
90.0,General,"Manipal University, Jaipur (Maharashtra Campus)",Environmental Engineering,2026-03-06 19:11:33
90.0,General,DY Patil Institute of Technology,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Solapur University College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Government College of Engineering Amravati,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Guru Nanak Institute of Technology,Textile Engineering,2026-03-06 19:11:33
90.0,General,DKTE,Man Made Textile Technology,2026-03-06 19:11:33
90.0,General,Terna Engineering College,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Deogiri Institute of Engineering and Management Studies,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Institute of Technology,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Swami Ramanand Teerth Marathwada University,Environmental Engineering,2026-03-06 19:11:33
90.0,General,MGM College of Engineering,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Walchand College of Engineering,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Marathwada Institute of Technology,Power Electronics,2026-03-06 19:11:33
90.0,General,Bharati Vidyapeeth College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Government Polytechnic Mumbai,Textile Engineering,2026-03-06 19:11:33
90.0,General,MIT World Peace University,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Army Institute of Technology,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Mukesh Patel School of Technology,Automobile Engineering,2026-03-06 19:11:33
90.0,General,DY Patil Institute of Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Veermata Jijabai Technological Institute (VJTI),Software Engineering,2026-03-06 19:11:33
90.0,General,Veermata Jijabai Technological Institute (VJTI),Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Shantidoot Madhavrao Patil College of Engineering,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Pune Institute of Computer Technology (PICT),Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Dr. Panjabrao Deshmukh Agricultural University,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Terna Engineering College,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Aurangabad,Information Technology,2026-03-06 19:11:33
90.0,General,MIDC School of Computing,Mechanical Engineering,2026-03-06 19:11:33
